,Unnamed: 0,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,amenities,bedrooms,beds,price,review_scores_value,review_scores_location,review_scores_rating,shared_bath,private_bath
857,857,1,1.1,43.77777,11.255,8,2,2,0.48107409758842357,1.0,1.0,43.0,4.86,4.98,4.91,0.0,1.0
858,858,1,1.0,43.81192,11.26805,12,0,12,0.39877002935753986,7.0,8.0,2100.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,6.5
859,859,1,1.0,43.77386,11.29284,0,0,6,0.28587566059291375,2.0,3.0,95.0,4.92,4.73,4.76,0.0,1.0
860,860,1,1.1,43.76728,11.24463,0,0,6,0.2750926083736103,2.0,2.0,105.0,4.95,4.96,4.95,0.0,3.0
861,861,1,1.1,43.77396,11.25171,8,2,2,0.4329162915635055,1.0,1.0,60.0,4.84,5.0,4.95,0.0,1.0
862,862,1,1.1,43.77325,11.26099,10,2,3,0.37585533658887027,1.0,2.0,70.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
863,863,1,1.0,43.78055,11.30254,0,0,6,0.32105704570572074,2.0,3.0,100.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,2.0
864,864,1,1.3,43.76453,11.23118,6,0,3,0.2958948738030757,1.0,2.0,130.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
865,865,1,1.2,43.74737,11.23309,2,0,4,0.24465814732495433,2.0,3.0,100.0,4.82,4.67,4.96,0.0,1.0
866,866,1,1.0,43.77968,11.32052,0,0,3,0.42171521436355885,1.0,2.0,125.0,5.0,5.0,5.0,0.0,1.0
867,867,1,1.3,43.76801,11.21825,4,2,2,0.2644067314035409,1.0,1.0,31.0,4.77,4.85,4.92,1.0,0.0
868,868,1,1.4,43.79697,11.21542,2,0,5,0.27502528566787454,2.0,3.0,79.0,4.77,4.75,4.88,0.0,1.0
869,869,1,1.4,43.79492,11.24992,8,2,2,0.22347665216212065,1.0,1.0,30.0,5.0,5.0,5.0,1.0,0.0
870,870,1,1.1,43.76301,11.24199,0,0,3,0.15736150369345392,1.0,2.0,65.0,4.77,4.92,4.87,0.0,1.0
871,871,1,1.0,43.77807,11.26945,0,0,4,0.25219120064873346,2.0,2.0,299.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
872,872,1,1.1,43.76501,11.25746,0,0,4,0.14375103814250703,1.0,2.0,75.0,3.92,4.72,3.9,0.0,1.0
873,873,1,1.1,43.76296,11.24392,0,0,4,0.21193253406784768,1.0,4.0,80.0,4.95,4.85,4.87,0.0,1.0
874,874,1,1.1,43.76373,11.26126,0,0,2,0.20685950414759857,1.0,2.0,99.0,4.6,4.9,4.64,0.0,1.0
875,875,1,1.4,43.78993,11.25202,0,0,6,0.2643555077588432,2.0,1.0,80.0,5.0,4.5,5.0,0.0,1.0
876,876,1,1.1,43.76531,11.25679,0,0,4,0.1811785012731407,2.0,2.0,192.0,4.83,4.97,4.8,0.0,2.0
877,877,1,1.1,43.7788,11.26479,2,0,4,0.2015174038590166,1.0,2.0,160.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,2.0
878,878,1,1.3,43.7687318762445,11.234492837939776,0,0,10,0.17041570110628004,5.0,5.0,243.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,2.0
879,879,1,1.0,43.7869191,11.2630639,2,0,2,1.026807509756956,1.0,2.0,80.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
880,880,1,1.4,43.78665,11.26074,16,2,1,0.3643797415776266,1.0,2.0,45.0,4.59,4.71,4.71,0.0,1.0
881,881,1,1.1,43.78081,11.24367,1,1,2,0.205798278897252,1.0,1.0,70.0,4.53,4.52,4.64,0.0,1.0
882,882,1,1.1,43.78034,11.24425,20,1,2,0.19491553701044695,1.0,1.0,111.0,4.83,5.0,4.92,0.0,1.0
883,883,1,1.1,43.76836,11.26235,0,0,4,0.17220707785499934,1.0,2.0,230.0,5.0,5.0,5.0,0.0,1.0
884,884,1,1.1,43.7737,11.24168,0,0,4,0.24533939107455624,2.0,3.0,115.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
885,885,1,1.1,43.78336,11.26147,9,2,2,0.7937177001722865,1.0,1.0,442.0,4.0,4.36,4.18,0.0,1.0
886,886,1,1.1,43.77343,11.25976,20,1,4,0.26023873026643923,1.0,2.0,212.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
887,887,1,1.1,43.76832,11.26647,0,0,4,0.26614730998119973,1.0,2.0,110.0,4.94,4.93,4.97,0.0,1.0
888,888,1,1.1,43.76799,11.26629,7,2,2,0.30552344849815366,1.0,1.0,85.0,5.0,5.0,4.92,1.0,0.0
889,889,1,1.1,43.77137,11.26774,0,0,3,0.24344923727117432,1.0,1.0,119.0,4.76,4.86,4.87,0.0,1.0
890,890,1,1.1,43.7760602,11.2632624,0,0,3,0.38726733947263103,1.0,1.0,180.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
891,891,1,1.4,43.81225,11.23257,16,2,2,0.2670260274933764,1.0,2.0,39.0,4.68,4.45,4.57,1.0,0.0
892,892,1,1.1,43.76878,11.24197,2,0,4,0.17787741300494037,2.0,2.0,91.0,4.82,4.89,4.76,0.0,1.5
893,893,1,1.1,43.76880718760628,11.242308566535383,0,0,4,0.21704607281588242,1.0,1.0,91.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
894,894,1,1.2,43.74873,11.23473,0,0,5,0.23311853522819123,2.0,4.0,76.0,4.92,4.76,4.93,0.0,1.0
895,895,1,1.1,43.7716,11.25691,0,0,2,0.1937931497777257,1.0,1.0,88.0,4.8,4.96,4.84,0.0,1.0
896,896,1,1.1,43.77855,11.25223,0,0,4,0.3099012076505491,2.0,2.0,95.0,4.56,4.93,4.58,0.0,1.0
897,897,1,1.1,43.76763,11.24976,16,2,2,0.3495187094682811,1.0,1.0,185.0,5.0,5.0,5.0,0.0,1.0
898,898,1,1.1,43.77472,11.25473,2,0,4,0.4022031148098799,2.0,4.0,59.0,4.37,4.77,4.28,0.0,1.0
899,899,1,1.1,43.76922,11.26052,0,0,2,0.1996716116041989,1.0,1.0,50.0,4.41,4.89,4.44,0.0,1.0
900,900,1,1.1,43.76977,11.25312,12,0,11,0.3110535816514932,5.0,6.0,1429.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,5.0
901,901,1,1.1,43.77165,11.25569,2,0,8,0.21111681682961206,4.0,4.0,250.0,4.79,4.99,4.76,0.0,4.0
902,902,1,1.1,43.76477,11.26074,8,2,2,0.5263299277622505,1.0,2.0,36.0,4.46,4.75,4.34,1.0,0.0
903,903,1,1.1,43.76761,11.25228,0,0,6,0.19772895381596867,2.0,3.0,284.0,4.75,4.97,4.65,0.0,2.0
904,904,1,1.3,43.76883,11.21699,0,0,3,6.728536595601315,2.0,2.0,108.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,2.0
905,905,1,1.1,43.78303,11.23218,0,0,2,0.21065882258024696,1.0,1.0,30.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
906,906,1,1.1,43.76911,11.24568,0,0,4,0.42673790896740355,4.0,4.0,40.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
907,907,1,1.1,43.76934,11.26374,0,0,5,0.1764952430560294,1.0,3.0,100.0,3.0,5.0,4.0,0.0,1.0
908,908,1,1.1,43.76798,11.26828,36,3,2,0.2567894847994669,1.0,2.0,60.0,5.0,5.0,4.5,1.0,0.0
909,909,1,1.0,43.80867,11.27589,4,2,2,0.37685584051351956,1.0,1.0,60.0,4.76,4.79,4.81,0.0,1.0
910,910,1,1.4,43.78921,11.22036,2,0,4,0.3113655235398431,1.0,2.0,106.0,4.78,4.67,4.78,0.0,1.0
911,911,1,1.4,43.79732692004171,11.218956665081782,2,0,3,0.24302694932174002,1.0,2.0,81.0,4.69,4.75,4.97,0.0,1.0
912,912,1,1.2,43.747379117717664,11.21118669152116,0,0,4,0.45731048375723926,1.0,2.0,146.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
913,913,1,1.3,43.7696855,11.2082299,6,0,6,0.40603353378570944,2.0,2.0,96.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
914,914,1,1.4,43.82599,11.26097,6,0,2,0.2387180760231539,1.0,1.0,90.0,4.91,4.83,4.95,0.0,2.0
915,915,1,1.2,43.73737,11.22454,16,2,2,0.3200185458074935,1.0,1.0,65.0,4.84,4.69,4.96,0.0,1.0
916,916,1,1.0,43.77119,11.31819,0,0,2,0.266899091063488,1.0,1.0,119.0,4.7,4.52,4.7,0.0,1.0
917,917,1,1.0,43.76528,11.3151,0,0,4,0.41875867555606777,1.0,3.0,90.0,4.71,4.71,4.86,0.0,1.0
918,918,1,1.0,43.81595,11.27971,12,0,16,0.4014612518587073,8.0,10.0,850.0,5.0,5.0,5.0,0.0,8.0
919,919,1,1.0,43.78018,11.29333,8,2,2,0.5005724648159232,1.0,1.0,40.0,4.62,4.39,4.55,0.0,1.0
920,920,1,1.2,43.74979,11.24157,2,0,2,0.24140564361769024,1.0,1.0,78.0,4.91,4.82,5.0,0.0,1.0
921,921,1,1.2,43.7498,11.23911,2,0,4,0.1667861364574481,2.0,2.0,89.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
922,922,1,1.1,43.78769998455552,11.218291260302069,0,0,4,0.21322926221150176,1.0,1.0,62.0,5.0,5.0,5.0,0.0,1.0
923,923,1,1.2,43.76198,11.27535,3,2,2,0.23614682799572173,1.0,1.0,110.0,4.673695140226933,4.81356026546778,4.689118430870908,1.0,0.0
924,924,1,1.1,43.77801395792316,11.251445588671317,0,0,6,0.6474880732175935,3.0,4.0,144.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,3.0
925,925,1,1.1,43.775,11.24662,20,1,2,0.25304894154181384,1.0,1.0,317.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
926,926,1,1.3,43.77158,11.22424,8,2,2,0.4119953025406398,1.0,2.0,25.0,5.0,5.0,5.0,2.0,0.0
927,927,1,1.3,43.78085170000001,11.2085882,13,0,3,0.754292703392195,1.0,1.0,85.0,5.0,5.0,5.0,0.0,1.0
928,928,1,1.4,43.7977122904189,11.239583976566792,8,2,10,0.4211028462252875,4.0,7.0,414.0,4.673695140226933,4.81356026546778,4.689118430870908,3.0,0.0
929,929,1,1.3,43.77473,11.20509,0,0,4,0.24444030611752504,1.0,1.0,110.0,4.66,4.57,4.77,0.0,1.5
930,930,1,1.2,43.76339,11.27379,0,0,4,0.19164640006984457,1.0,1.0,81.0,4.86,4.78,4.91,0.0,1.0
931,931,1,1.3,43.75533,11.20859,6,0,7,0.32115017651358585,3.0,5.0,270.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,3.0
932,932,1,1.2,43.76389,11.27524,0,0,2,0.18024912947110472,1.0,1.0,63.0,4.78,4.64,4.85,0.0,1.0
933,933,1,1.3,43.77375,11.230463,2,0,5,0.18333458547621556,2.0,3.0,68.0,4.59,4.55,4.64,0.0,1.0
934,934,1,1.2,43.76132734755353,11.289501447959818,2,0,4,0.22130678834438205,2.0,3.0,90.0,5.0,5.0,5.0,0.0,1.0
935,935,1,1.4,43.797876,11.2418061,2,0,7,0.2563381772193792,2.0,5.0,120.0,5.0,4.67,5.0,0.0,1.0
936,936,1,1.2,43.76399,11.27084,37,0,2,0.2890987386016873,1.0,1.0,76.0,4.72,4.59,4.73,0.0,1.0
937,937,1,1.0,43.76631,11.28394,0,0,4,0.22008010167710723,1.0,2.0,80.0,4.89,4.69,4.89,0.0,1.0
938,938,1,1.0,43.7879485,11.2717093,16,2,1,0.2114935751100159,1.0,1.0,60.0,4.83,4.67,5.0,1.0,0.0
939,939,1,1.4,43.79368,11.21953,0,0,10,0.12678450564060478,4.0,4.0,207.0,5.0,5.0,4.5,0.0,1.0
940,940,1,1.1,43.77741,11.25269,8,2,2,0.16567883473362643,1.0,1.0,38.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
941,941,1,1.0,43.78302,11.28192,2,0,2,0.22028171745609354,1.0,1.0,40.0,4.8,4.4,4.8,0.0,1.0
942,942,1,1.0,43.77536,11.27001,2,0,4,0.20402647732995682,1.0,2.0,114.0,4.88,4.88,4.88,0.0,1.0
943,943,1,1.1,43.77504,11.26911,2,0,5,0.20402647732995682,1.0,3.0,118.0,4.95,4.95,5.0,0.0,1.0
944,944,1,1.0,43.7775,11.27155,0,0,5,0.28197074248954257,3.0,3.0,135.0,4.85,4.66,4.88,0.0,1.0
945,945,1,1.0,43.78325520000001,11.2750935,0,0,2,0.21105788456683255,1.0,1.0,77.0,5.0,5.0,5.0,0.0,1.0
946,946,1,1.4,43.79057,11.24991,3,2,2,0.3239829664139822,1.0,1.0,44.0,4.93,4.76,4.89,0.0,1.0
947,947,1,1.4,43.7854,11.24578,3,2,2,0.4399150938085573,1.0,1.0,126.0,4.0,5.0,4.0,0.0,1.0
948,948,1,1.0,43.78614,11.27147,2,0,4,0.27345649087807866,1.0,1.0,109.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.5
949,949,1,1.1,43.76504,11.26115,0,0,4,0.22467795018692613,1.0,2.0,99.0,4.8,4.91,4.8,0.0,1.0
950,950,1,1.1,43.78159,11.25581,38,2,3,0.2981372967038333,1.0,1.0,97.0,4.673695140226933,4.81356026546778,0.0,1.0,0.0
951,951,1,1.1,43.78728,11.22841,0,0,4,0.21770732225385447,1.0,4.0,78.0,4.79,4.56,4.86,0.0,1.0
